AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Short Description,Long Description,Donor Project ID,Donor Secondary Project ID
906000993110,Mutshatsha HGR,United States,,Funding,,,,,,,,Geocoding 2013,,LGTFak63EnY,LGTFak63EnY,
906000993112,TBD1 - Mutshatsha,United States,,Funding,,,,,,,,Geocoding 2013,,tk0OsUgMREV,tk0OsUgMREV,
906000993114,TBD2 - Mutshatsha,United States,,Funding,,,,,,,,Geocoding 2013,,BPnZvzIEWgD,BPnZvzIEWgD,
906000993116,TBD3 - Mutshatsha,United States,,Funding,,,,,,,,Geocoding 2013,,UgUBuibjG0R,UgUBuibjG0R,
906000993118,TBD4 - Mutshatsha,United States,,Funding,,,,,,,,Geocoding 2013,,LVI2IJ9DFRd,LVI2IJ9DFRd,
906000993120,Katanga,United States,,Funding,,,,,,,,Geocoding 2013,,K5N3wrcWjbE,K5N3wrcWjbE,
906000993122,Luisha,United States,,Funding,,,,,,,,Geocoding 2013,,Vb8lDLXkHjJ,Vb8lDLXkHjJ,
906000993124,Lupidi 2,United States,,Funding,,,,,,,,Geocoding 2013,,m7qqHJKoBZD,m7qqHJKoBZD,
906000993126,Ndakata,United States,,Funding,,,,,,,,Geocoding 2013,,eZXOmZXhqYz,eZXOmZXhqYz,
906000993128,TBD1 - Kapolowe ,United States,,Funding,,,,,,,,Geocoding 2013,,GVoGUHUxJmX,GVoGUHUxJmX,
906000993130,TBD2 - Kapolowe ,United States,,Funding,,,,,,,,Geocoding 2013,,UYO8aH2xVLO,UYO8aH2xVLO,
906000993132,TBD3 - Kapolowe,United States,,Funding,,,,,,,,Geocoding 2013,,fMEVCO7w4WH,fMEVCO7w4WH,
906000993134,ELYSEE ,United States,,Funding,,,,,,,,Geocoding 2013,,Nt15Ue8D0ob,Nt15Ue8D0ob,
906000993136,Kalulwa,United States,,Funding,,,,,,,,Geocoding 2013,,d4GM38NzLIO,d4GM38NzLIO,
906000993138,Kampemba - Kikula,United States,,Funding,,,,,,,,Geocoding 2013,,YRj8q2Ehlqt,YRj8q2Ehlqt,
906000993140,LA BLANCHE,United States,,Funding,,,,,,,,Geocoding 2013,,VHNwMH6Q8HW,VHNwMH6Q8HW,
906000993142,Mlinzi,United States,,Funding,,,,,,,,Geocoding 2013,,GJhhJHblD3b,GJhhJHblD3b,
906000993144,Moriah,United States,,Funding,,,,,,,,Geocoding 2013,,EsnRGwr0CZj,EsnRGwr0CZj,
906000993146,TBD1 - Kikula ,United States,,Funding,,,,,,,,Geocoding 2013,,VhnkBSh7CNu,VhnkBSh7CNu,
906000993148,TBD2 - Kikula ,United States,,Funding,,,,,,,,Geocoding 2013,,EquOikly5xK,EquOikly5xK,
906000993150,Uzima,United States,,Funding,,,,,,,,Geocoding 2013,,AvTMqC1Xosu,AvTMqC1Xosu,
906000993152,Uzima Wetu - Kikula,United States,,Funding,,,,,,,,Geocoding 2013,,RPKlAF5Cu83,RPKlAF5Cu83,
906000993154,Belle Vue,United States,,Funding,,,,,,,,Geocoding 2013,,zXiYHQltAoF,zXiYHQltAoF,
906000993156,Nguya,United States,,Funding,,,,,,,,Geocoding 2013,,a5bc6lcn2ek,a5bc6lcn2ek,
906000993158,Panda HGR,United States,,Funding,,,,,,,,Geocoding 2013,,h0XoJTZr5eb,h0XoJTZr5eb,
906000993160,TBD1 - Panda,United States,,Funding,,,,,,,,Geocoding 2013,,mlXbcqNvbhm,mlXbcqNvbhm,
906000993162,TBD2 - Panda,United States,,Funding,,,,,,,,Geocoding 2013,,QGCs9BkG497,QGCs9BkG497,
906000993164,TBD3 - Panda,United States,,Funding,,,,,,,,Geocoding 2013,,AWcVi2batmO,AWcVi2batmO,
906000993166,TBD4 - Panda,United States,,Funding,,,,,,,,Geocoding 2013,,XjzjIMAA2S4,XjzjIMAA2S4,
906000993168,Decouverte,United States,,Funding,,,,,,,,Geocoding 2013,,MjHBZkO1Gtz,MjHBZkO1Gtz,
906000993170,Kalimasimba,United States,,Funding,,,,,,,,Geocoding 2013,,aJoOmJ9uATE,aJoOmJ9uATE,
906000993172,Kasungami ,United States,,Funding,,,,,,,,Geocoding 2013,,n7IBtMvd1KX,n7IBtMvd1KX,
906000993174,Kilima,United States,,Funding,,,,,,,,Geocoding 2013,,f2X9S2Lxi54,f2X9S2Lxi54,
906000993176,Kilima Simba,United States,,Funding,,,,,,,,Geocoding 2013,,q1OnqahBifk,q1OnqahBifk,
906000993178,Kisanga HGR,United States,,Funding,,,,,,,,Geocoding 2013,,Gdk7s5mEyAG,Gdk7s5mEyAG,
906000993180,La Foi,United States,,Funding,,,,,,,,Geocoding 2013,,IqYu0d5wqvp,IqYu0d5wqvp,
906000993182,Crisem,United States,,Funding,,,,,,,,Geocoding 2013,,zzPY4m6LqAa,zzPY4m6LqAa,
906000993184,AMANI ,United States,,Funding,,,,,,,,Geocoding 2013,,dQwNpqrkjwx,dQwNpqrkjwx,
906000993186,BUISSON ARDENT ,United States,,Funding,,,,,,,,Geocoding 2013,,IIs5XLk0Kbg,IIs5XLk0Kbg,
906000993188,Circulaire,United States,,Funding,,,,,,,,Geocoding 2013,,X7FJLcSKlfq,X7FJLcSKlfq,
906000993190,Cite des Jeunes,United States,,Funding,,,,,,,,Geocoding 2013,,m7utP8mxZs2,m7utP8mxZs2,
906000993192,Dominique SAVIO,United States,,Funding,,,,,,,,Geocoding 2013,,JifeXKRxjxc,JifeXKRxjxc,
906000993194,Ecaset,United States,,Funding,,,,,,,,Geocoding 2013,,R7JamzHvkEL,R7JamzHvkEL,
906000993196,Emmaus,United States,,Funding,,,,,,,,Geocoding 2013,,N7PuLzytcOq,N7PuLzytcOq,
906000993198,Garenganze - Kampemba,United States,,Funding,,,,,,,,Geocoding 2013,,ESkjGj6a12x,ESkjGj6a12x,
906000993200,Jardin d'Eden CM,United States,,Funding,,,,,,,,Geocoding 2013,,SwFEdeSaxji,SwFEdeSaxji,
906000993202,Kabanga,United States,,Funding,,,,,,,,Geocoding 2013,,S7e4BaCL9Vr,S7e4BaCL9Vr,
906000993204,Kampemba HGR,United States,,Funding,,,,,,,,Geocoding 2013,,HYHRTyk5KvC,HYHRTyk5KvC,
906000993206,LA RACINE ,United States,,Funding,,,,,,,,Geocoding 2013,,UFhOFzDFkUq,UFhOFzDFkUq,
906000993208,Lapofa,United States,,Funding,,,,,,,,Geocoding 2013,,LiFDjeSmKhp,LiFDjeSmKhp,
906000993210,MAISHA ,United States,,Funding,,,,,,,,Geocoding 2013,,UDOrBbK80li,UDOrBbK80li,
906000993212,Mary Elmer,United States,,Funding,,,,,,,,Geocoding 2013,,fc81Wvn0Ypq,fc81Wvn0Ypq,
906000993214,Mont Carmel,United States,,Funding,,,,,,,,Geocoding 2013,,ZdpkFTbSkE2,ZdpkFTbSkE2,
