AidData ID,Project Title
906000992966,TBD2 - Bunkeya
906000992968,TBD3 - Bunkeya
906000992970,TBD4 - Bunkeya
906000992972,Dilambwe
906000992974,Dipeta 1
906000992976,Dipeta 2
906000992978,Dipeta 
906000992980,El Shaddai 
906000992982,Kakanda HGR
906000992984,Kasolondo
906000992986,Kilusonsa
906000992988,Lukotola
906000992990,Mpala
906000992992,Mulumbu
906000992994,Mwenda Mukose
906000992996,Neema - Fungurume 
906000992998,Nguba
906000993000,Piscine De Siloe
906000993002,Safina 
906000993004,Shaloom - Fungurume 
906000993006,St Francois Xavier 
906000993008,TBD1 - Fungurume 
906000993010,TBD2 - Fungurume 
906000993012,TBD3 - Fungurume
906000993014,Tenke
906000993016,Cimenkat Lubudi HGR
906000993018,Kalonga 
906000993020,Kansenia Hopital
906000993022,Mukabe 
906000993024,TBD1 - Lubudi
906000993026,TBD2 - Lubudi
906000993028,TBD3 - Lubudi
906000993030,Chisambu
906000993032,Kongolo M
906000993034,TBD1 - Manika
906000993036,TBD2 - Manika
906000993038,TBD3 - Manika
906000993040,Hopital du Personnel de Kolwezi (HPK) - Dilala HGR
906000993042,Kapata 
906000993044,Luilu 
906000993046,Methodiste - Dilala CH
906000993048,Kanzenze HGR
906000993050,Nseke HGR
906000993052,Nzilo 
906000993054,TBD1 - Kanzenze 
906000993056,TBD2 - Kanzenze 
906000993058,TBD3 - Kanzenze
906000993060,TBD4 - Kanzenze
906000993062,Tshamundenda1 
906000993064,Wakipindji 
906000993066,Walemba 
906000993068,Kawama
906000993070,Kawama - Lualaba 
906000993072,Kinsafu 
906000993074,Mupanja
906000993076,Mupanja 
906000993078,Mwanfwe 
906000993080,Pwene 
906000993082,Pwibwe 
906000993084,Radem - Lualaba 
906000993086,SNCC Mupandja 
906000993088,TBD1 - Lualaba
906000993090,TBD2 - Lualaba
906000993092,TBD3 - Lualaba
906000993094,Afia Manika 
906000993096,Betshaida 
906000993098,Kasulo 
906000993100,Manika 
906000993102,Mwangeji HGR
906000993104,Kayambe 
906000993106,Luilu
906000993108,Maisha 
906000993110,Mutshatsha HGR
906000993112,TBD1 - Mutshatsha
906000993114,TBD2 - Mutshatsha
906000993116,TBD3 - Mutshatsha
906000993118,TBD4 - Mutshatsha
906000993120,Katanga
906000993122,Luisha
906000993124,Lupidi 2
906000993126,Ndakata
906000993128,TBD1 - Kapolowe 
906000993130,TBD2 - Kapolowe 
906000993132,TBD3 - Kapolowe
906000993134,ELYSEE 
906000993136,Kalulwa
906000993138,Kampemba - Kikula
906000993140,LA BLANCHE
906000993142,Mlinzi
906000993144,Moriah
906000993146,TBD1 - Kikula 
906000993148,TBD2 - Kikula 
906000993150,Uzima
906000993152,Uzima Wetu - Kikula
906000993154,Belle Vue
906000993156,Nguya
906000993158,Panda HGR
906000993160,TBD1 - Panda
906000993162,TBD2 - Panda
906000993164,TBD3 - Panda
906000993166,TBD4 - Panda
906000993168,Decouverte
906000993170,Kalimasimba
906000993172,Kasungami 
906000993174,Kilima
906000993176,Kilima Simba
906000993178,Kisanga HGR
906000993180,La Foi
906000993182,Crisem
906000993184,AMANI 
906000993186,BUISSON ARDENT 
906000993188,Circulaire
906000993190,Cite des Jeunes
906000993192,Dominique SAVIO
906000993194,Ecaset
906000993196,Emmaus
906000993198,Garenganze - Kampemba
906000993200,Jardin d'Eden CM
906000993202,Kabanga
906000993204,Kampemba HGR
906000993206,LA RACINE 
906000993208,Lapofa
906000993210,MAISHA 
906000993212,Mary Elmer
906000993214,Mont Carmel
906000993216,Reference
906000993218,Savio
906000993220,St Charles
906000993222,Ste Famille de Nazareth 
906000993224,Taba Congo
906000993226,Ave Maria
906000993228,Baraka
906000993230,Katuba HGR
906000993232,Lwizi 
906000993234,Manne Cachee
906000993236,Divin Messie
906000993238,Franciphar
906000993240,Jamma Yetu
906000993242,Kimilolo
906000993244,Kimilolo
906000993246,Mama Wa Huruma
906000993248,Mama wa Uruma
906000993250,Mimbulu
906000993252,Mutuale
906000993254,Somika
906000993256,Ste Bernadette
906000993258,Triangle
906000993260,A.Barbier
906000993262,Awadi
906000993264,Bakhita 
906000993266,Eben Ezer 
906000993268,Kenya 1
906000993270,Kenya HGR
906000993272,Paul Mari B
906000993274,TBD1 - Kenya
906000993276,TBD2 - Kenya
906000993278,TBD3 - Kenya
906000993280,TBD4 - Kenya
906000993282,Bumi
906000993284,Bumi 
906000993286,Crina 
906000993288,Kamalondo HGR
906000993290,TBD - Kamalondo
906000993292,Jardin d'Eden CM
906000993294,Penny Wise And Guts 
906000993296,Ste Famille de Nazareth 
906000993298,TBD1 - Kampemba
906000993300,TBD2 - Kampemba
906000993302,TBD3 - Kampemba
906000993304,TBD4 - Kampemba
906000993306,TBD5 - Kampemba
906000993308,TBD6 - Kampemba
906000993310,Bakhita 
906000993312,Kalebuka 
906000993314,Kenya 1
906000993316,Kenya 1 
906000993318,Kenya 2
906000993320,Kiba 
906000993322,Mama wa Watoto 
906000993324,Adventiste Lubumbashi CM
906000993326,CMCD POLYCLINIQUE
906000993328,Camps ASS
906000993330,Clinique Universitaire Lubumbashi (CUL)
906000993332,Gambela
906000993334,KASAPA
906000993336,Kalubwe II
906000993338,Kitumaini Polyclinique
906000993340,Lumumba
906000993342,Makutano
906000993344,Medicare
906000993346,Polyclinique - Lubumbashi
906000993348,Polyclinique De L'esperance
906000993350,Radem Gambela
906000993352,Saint-Esprit 
906000993354,Scholastique 
906000993356,Sendwe CE
906000993358,Sendwe 
906000993360,Sendwe HGPR
906000993362,Sendwe HGR
906000993364,St Esprit
906000993366,St Marcel
906000993368,TBD1 - Lubumbashi
906000993370,TBD2 - Lubumbashi
906000993372,TBD3 - Lubumbashi
906000993374,TBD4 - Lubumbashi
906000993376,TBD5 - Lubumbashi
906000993378,TBD7 - Lubumbashi
906000993380,TBD8 - Lubumbashi
906000993382,Tshombe
906000993384,Flora
906000993386,Gecamines Clinique - Mubunda
906000993388,Gecamines Sud Hop
906000993390,Gemima 
906000993392,Mumbunda 1
906000993394,Mumbunda 2
906000993396,Munua 
906000993398,St Francois D'assise
906000993400,Faveur De Dieu
906000993402,La Grace - Ruashi
906000993404,Sion
906000993406,Wantashi
906000993408,Yambala
906000993410,Aenaf Partage-Attitude 
906000993412,Hakika HGR
906000993414,Mwana Bwato 
906000993416,Oracle de l'Eternel
906000993418,Polyclinique Fraternite
906000993420,Rwashi HGR
906000993422,TBD1 - Rwashi
906000993424,TBD2 - Rwashi
906000993426,TBD3 - Rwashi
906000993428,TBD4 - Rwashi
906000993430,Afia Mzuri 
906000993432,Amani
906000993434,Amani-Tshamilemba 
906000993436,Bakhita 2 
906000993438,Camp Fabrique
906000993440,Etoile Brillante Du Matin CM
906000993442,Famika
906000993444,Famika 
906000993446,Hopital Radem 
906000993448,Jenovic 
906000993450,Kigoma Est
906000993452,Kigoma Ouest
906000993454,Lumiere Tshamilemba 
906000993456,MAMA ELISABETH 
906000993458,MLK POLYCLINIQUE
906000993460,Medaille d'Or CM
906000993462,Poly du Bel - air 
906000993464,SNCC Lubumbashi HGR
906000993466,St Thomas 
906000993468,la Promesse CM
906000993470,Rwashi HGR
906000993472,Vangu HGR
906000993474,Fma Mokambo
906000993476,Bukama HGR
906000993478,Congo SNCC
906000993480,Kabamoma
906000993482,Kibangu
906000993484,Makala
906000993486,Methodiste - Bukama
906000993488,Kalombo 1
906000993490,Kipamba 2 
906000993492,Kitembo 
906000993494,Mangi 2 
906000993496,Mangi 4 
906000993498,Kambo
906000993500,Kamungu
906000993502,Kime
906000993504,Kina
906000993506,Kayamba HGR
906000993508,Mobela 
906000993510,Amani-Kitenge
906000993512,Budi
906000993514,Kitenge HGR
906000993516,Makwidi
906000993518,Bumi
906000993520,Kamina HGR
906000993522,Katuba 2 - Kamina
906000993524,Mere Sauveur
906000993526,Quartier 52
906000993528,Regie des Voies Aeriennes 
906000993530,Shungu
906000993532,Grelka
906000993534,Kipukwe
906000993536,Samba
906000993538,Songa HGR
906000993540,Butombe
906000993542,Kyamakanza
906000993544,Lubondoyi 
906000993546,Mukomutombo
906000993548,Nseya
906000993550,Kabamba 
906000993552,Kafumbe 
906000993554,Mulongo HGR
906000993556,Ngoya 
906000993558,Bambu HGR
906000993560,Dala 
906000993562,Kobu 
906000993564,Lalo 
906000993566,Nyangaray 
906000993568,TBD1 - Bambu
906000993570,TBD2- Bambu
906000993572,TBD3 - Bambu
906000993574,TBD4 - Bambu
906000993576,Adventiste Bunia
906000993578,Central
906000993580,Kindia
906000993582,Lembabo
906000993584,Ngezi/PNC
906000993586,Nyakasanza
906000993588,Simbiliabo
906000993590,TBD1 - Bunia
906000993592,TBD10 - Bunia
906000993594,TBD2 - Bunia
906000993596,TBD3 - Bunia
906000993598,TBD4 - Bunia
906000993600,TBD5 - Bunia
906000993602,TBD6 - Bunia
906000993604,TBD7 - Bunia
906000993606,TBD8 - Bunia
906000993608,TBD9 - Bunia
906000993610,Abelkozo  
906000993612,Lodjo 
906000993614,Mongbwalu HGR
906000993616,Notre Dame de la Charite Maternelle 
906000993618,PLUTO 
906000993620,SAYO 
906000993622,TBD1 - Mongbwalu
906000993624,TBD2 - Mongbwalu
906000993626,TBD3 - Mongbwalu
906000993628,TBD4 - Mongbwalu
906000993630,Baimani 
906000993632,Communaute Emmanuel 39 Iga Bariere 
906000993634,Lopa 
906000993636,Nizi 
906000993638,Nizi HGR
906000993640,TBD1 - Nizi
906000993642,TBD2 - Nizi
906000993644,TBD3 - Nizi
906000993646,TBD4 - Nizi
906000993648,Adventisite Bunia
906000993650,Bigo 
906000993652,Bora Uzima
906000993654,Bunia Cite 
906000993656,CNCA 
906000993658,Central
906000993660,Kindia
906000993662,Lembabo
906000993664,Ngezi/PNC
906000993666,Nyakasanza
906000993668,Simbiliabo
906000993670,Barazana 
906000993672,Deie 
906000993674,Kunda 
906000993676,Mwanga 
906000993678,Rwampara HGR
906000993680,TBD1 - Rwampara
906000993682,TBD2 - Rwampara
906000993684,TBD3 - Rwampara
906000993686,TBD4 - Rwampara
906000993688,Anr
906000993690,Ararat
906000993692,Centre De Transfusion Sanguine
906000993694,Compassion
906000993696,Hope Medical
906000993698,Kimbanza
906000993700,Libikisi
906000993702,Mangembo
906000993704,Patience Medicale
906000993706,Riviera
906000993708,Tshisuaka
906000993710,Anamed
906000993712,Bumbu CME
906000993714,CBCO Barel
906000993716,La Grace Medicale -Bumbu
906000993718,Libondi 
906000993720,Siloe - Bumbu 
906000993722,Bondeko  - Kalamu1 
906000993724,Centre BiomeMedicale de Matonge 
906000993726,Centre IST Matonge
906000993728,Fondation Lisalisi
906000993730,Kauka 2 CM
906000993732,Onatra - Kalamu1 Hopital
906000993734,Akram Bongolo
906000993736,Bien Etre Familial
906000993738,Bon Berger 2 - Kalamu2
906000993740,Centre Medical de l'Anemie SS
906000993742,Centre Medical de l'Anemie SS
906000993744,Kalamu Medical Center - Kalamu2
906000993746,Mav Espoir
906000993748,Presbyterien Kasonga (CHK)
906000993750,Anciens Combattants 
906000993752,Bon Berger Polyclinique
906000993754,Bwanya
906000993756,CASOP
906000993758,Clinique Des Anges -Kasa-Vubu
906000993760,Esprosa 
906000993762,Mama Pamela CH
906000993764,Sonal
906000993766,Trinite - Kasa-Vubu CM
906000993768,PIR Victoire
906000993770,Barumbu CME
906000993772,Itaga 
906000993774,Mongala - Kinshasa
906000993776,OSD Clinic
906000993778,St Pierre - Kinshasa 
906000993780,Kin-Clinic
906000993782,Mobokoli
906000993784,Ngondo Maria
906000993786,Selo 
906000993788,Setas 
906000993790,St Clement
906000993792,Ndjombo
906000993794,Ngiri-Ngiri CH
906000993796,Bolingo Ngiri-Ngiri CH
906000993798,Omeco Yangambi
906000993800,Polyclinique de Ngiri-Ngiri
906000993802,Bakidi
906000993804,Centre Penitentiaire et de Rehabiltiation de Kinshasa- CPRK - Makala
906000993806,Delivrance
906000993808,Makala HGR
906000993810,Ste Anne 
906000993812,Libikisi
906000993814,Boyambi 
906000993816,Charite CH
906000993818,Kalamu Medical Center - Barumbu
906000993820,Kasai 
906000993822,Morija CH
906000993824,Race Benie
906000993826,Scibe Congo 
906000993828,Zainabia - Barumbu
906000993830,Force Navale CM
906000993832,Mbaki - Ndolo CM
906000993834,Kasa-Vubu 
906000993836,Omo 
906000993838,Palais de Marbre CM
906000993840,Panzi Medical 
906000993842,Bolingani-Ozone CM
906000993844,Bubazaya 
906000993846,Camp Munganga
906000993848,Cite des Anciens Combattants
906000993850,Elisabeth Akhatshi CM
906000993852,Kinsuka pecheurs
906000993854,Lukunga
906000993856,Maman Yemo
906000993858,Mfinda
906000993860,Musey
906000993862,Paul Medical Center CM
906000993864,Siloe - Ozone CM
906000993866,Akhenathon CM
906000993868,Akram GOMBE
906000993870,Haut-Commandement CM
906000993872,Hopital General Provincial de Reference de Kinshasa
906000993874,Laboratoire De Reference Du SIDA
906000993876,Laboratoire Institut National de Recherches Biomedicales (INRB)
906000993878,Mongala - Gombe CM
906000993880,Ngaliema CL
906000993882,Office Congolais de Controle CM
906000993884,Laboratoire De Reference Du SIDA
906000993886,Kikimi 
906000993888,Ngapani 
906000993890,TrinitÃ© Kivuvu 
906000993892,Bolingani - Kingasani 
906000993894,Light 
906000993896,TBD1 - Kingasani
906000993898,Akram Kintambo
906000993900,CBCO - Kintambo 
906000993902,Kimia
906000993904,Kintambo HGR
906000993906,Kintambo Maternite
906000993908,Nganda Clinique
906000993910,Obed 
906000993912,Kabinda CH
906000993914,Kalembe-Lembe HP
906000993916,Kitega 
906000993918,TBD1 - Lingwala
906000993920,TBD2 - Lingwala
906000993922,TBD3 - Lingwala
906000993924,TBD4 - Lingwala
906000993926,Vijana 
906000993928,Lufungula
906000993930,Kimbangu CH
906000993932,Matadi Mayo 
906000993934,Monkole HGR
906000993936,Rene Deheas CH
906000993938,Ste Rita - Mont-Ngafula1 CM
906000993940,Environnement et Sante
906000993942,Mambre 
906000993944,Mitendi
906000993946,PÃ¨re Nsadi  
906000993948,TBD1 - Mont-Ngafula2
906000993950,TBD2 - Mont-Ngafula2
906000993952,Edith Cavell CM
906000993954,Kasongo
906000993956,La Borne
906000993958,Binza -Maternite
906000993960,Aprodi CH
906000993962,Des Anges Clinique VIP
906000993964,ECC Mapasa
906000993966,Kinkenda
906000993968,Mwinda 
906000993970,Shalom - Meteo 
906000993972,St Sacrement 
906000993974,TBD1 - Binza-Meteo
906000993976,TBD2 - Binza-Meteo
906000993978,TBD3 - Binza-Meteo
906000993980,TBD4 - Binza-Meteo
906000993982,Bolingo-Ozone
906000993984,Celpa - Ozone CM
906000993986,Clinique IK
906000993988,Galilee 
906000993990,Lukunga 
906000993992,Luyindu CH
906000993994,Mfinda
906000993996,Polyclinique St Joseph
906000993998,St Christophe
906000994000,Tshatshi CH
906000994002,Amba 
906000994004,Esengo - Kisenso
906000994006,Kisenso CHE
906000994008,Liberation 
906000994010,Maternite Caideco
906000994012,Mayika 
906000994014,Misericorde CM
906000994016,Mushie 
906000994018,Revelation
906000994020,Revolution 
906000994022,St Ambroise
906000994024,Alice Mulanga 
906000994026,Benedict 
906000994028,Bon Berger - Lemba CH
906000994030,Caideco 
906000994032,Cliniques Univeristaires de Kinshasa (CUK)
906000994034,ELIMO SANTU 
906000994036,El Roi
906000994038,Elikya 
906000994040,La Colombe 
906000994042,Lisanga 
906000994044,Mont-Amba CH
906000994046,Poly Fam
906000994048,St GABRIEL
906000994050,Ste RITA  - Lemba 
906000994052,Union Medicale
906000994054,Kokolo (Ft Kokolo) 
906000994056,Bolia 
906000994058,Casi 
906000994060,Christ Roi 
906000994062,Lunionzo 
906000994064,Matete CHR
906000994066,Maziba 
906000994068,Meravie 
906000994070,Mokengeli
906000994072,St Alphonse 
906000994074,St Raymond - Matete
906000994076,TBD1 - Matete
906000994078,TBD2 - Matete
906000994080,TBD3 - Matete
906000994082,TBD4 - Matete
906000994084,Vitamine
906000994086,Kabila 
906000994088,Matete (IPK) Inspection Provinciale Kinshasa
906000994090,Badiadingi CH
906000994092,Lisungi
906000994094,Mama Mosalisi 
906000994096,Mater Dei
906000994098,Fatima 
906000994100,Kindele 
906000994102,La Providence St Joseph
906000994104,Mawagali
906000994106,Notre-Dame La Providence
906000994108,Jeedds Center
906000994110,Kimbondo HP
906000994112,Kimbuala 
906000994114,St Vincent De Paul  Kin
906000994116,Agape 
906000994118,Baobab 
906000994120,Emeraude - Ngaba Clinique
906000994122,Gloria CM
906000994124,Le Rocher 
906000994126,Mobengi 
906000994128,Mokulua Maternite
906000994130,Mpila 
906000994132,Ngaba CME
906000994134,Nsanga 
906000994136,Wochop 
906000994138,Akram Matete CH
906000994140,Christu Mobikisi 
906000994142,Clinique De Limete
906000994144,Gekokon CM
906000994146,Kizito 
906000994148,La Main De  Dieu
906000994150,Libiki 
906000994152,Liziba 
906000994154,Mayamba 
906000994156,Monsele 
906000994158,St Bernard 
906000994160,Vixam 
906000994162,2eme RUE 
906000994164,Apv 
906000994166,Bangba 
906000994168,Beau Sejour 
906000994170,Bondeko - Limete CL
906000994172,La Candeur CH
906000994174,Liboke 
906000994176,Limete DGI CM
906000994178,Miria 
906000994180,Moderne CH
906000994182,Mombele CH
906000994184,Mososo 
906000994186,Promedis
906000994188,Rapha - Limete CH
906000994190,Sara 
906000994192,St Amand 
906000994194,St Joseph - Limete Hopital
906000994196,TBD1 - Limete
906000994198,TBD2 - Limete
906000994200,TBD3 - Limete
906000994202,TBD4 - Limete
906000994204,St Luc - Kikimi CH
906000994206,Mamvululu 
906000994208,Mokali CH
906000994210,Pere Damien 
906000994212,St Jean 
906000994214,St Joseph - Biyela
906000994216,Tshimungu
906000994218,Bisengo Mwambe
906000994220,Bisengo Mwambe 
906000994222,Bosembo
906000994224,Kikimi CH
906000994226,Lobiko - Kikimi 
906000994228,Marechal 
906000994230,Mfumunkento 
906000994232,Mikondo 
906000994234,Poly Jamero
906000994236,St Luc - Kikimi CH
906000994238,Ste Marie La Misericorde CM
906000994240,Zainabia - Kikimi 
906000994242,Bas-Congo 
906000994244,Boboto - Kimbanseke
906000994246,Boyokani
906000994248,Elikya
906000994250,Esanga 
906000994252,Esperance 
906000994254,Fondaco 
906000994256,Kimbanguiste HGR
906000994258,Kimbanguiste Mission
906000994260,Mpanga /Kambamulamba 
906000994262,Ndemba 
906000994264,Pierre Focom 
906000994266,St Albertine
906000994268,St Augustin 
906000994270,Tosalisana 
906000994272,Tuzolana
906000994274,Un Jour
906000994276,Yenge
906000994278,17 Mai
906000994280,Hope Clinic
906000994282,Kingasani CH
906000994284,Londolobe 
906000994286,Molende 
906000994288,St Paul 
906000994290,TBD1 - Kingasani
906000994292,TBD2 - Kingasani
906000994294,TBD3 - Kingasani
906000994296,TBD4 - Kingasani
906000994298,TBD5 - Kingasani
906000994300,Tata Mosala 
906000994302,Tembo 
906000994304,Bethanie 
906000994306,Basuku
906000994308,Bita 
906000994310,Bon Berger - Maluku1
906000994312,Bu
906000994314,Dr Kongo CM
906000994316,Kingakati
906000994318,Major Leka 
906000994320,Maluku
906000994322,Maluku CH
906000994324,Maluku 
906000994326,Mambutuka de Mayi Ndombe 1 
906000994328,Mangenge
906000994330,Mayi Ndombe De Mayi Ndombe 2 
906000994332,Menkao
906000994334,Menkao 
906000994336,Monaco
906000994338,Ndunu
906000994340,Sephora
906000994342,Sosider
906000994344,Dumi
906000994346,Kingawa 
906000994348,Kingwala 
906000994350,Kints 
906000994352,Mampu 
906000994354,Mbankana HGR
906000994356,Mbete 
906000994358,Mongata 
906000994360,Nkieme 
906000994362,Aux Bons Soins CH
906000994364,Biamba Marie Mutombo Hopital
906000994366,Bolingo-Masina 1
906000994368,Boo Nsuba 
906000994370,Cebu
906000994372,Clinique Des Anges - Masina1
906000994374,Desaf CH
906000994376,Esengo - Masina1 
906000994378,Esperodi CH
906000994380,Kitoko
906000994382,Ntombua Ya Maria 
906000994384,Pilote CH
906000994386,Roi Baudouin CH
906000994388,TBD1 - Masina1
906000994390,TBD2 - Masina1
906000994392,Avenir
906000994394,Bora 
906000994396,Clinique des Anges Masina
906000994398,Cliniques des Anges - Masina2
906000994400,Elonga 
906000994402,Kimbela
906000994404,Lumiere - Masina2 
906000994406,Lunda
906000994408,Mafuta Kizola
906000994410,Mapela 
906000994412,Matadi
906000994414,St Hilaire 
906000994416,TBD1 - Masina2
906000994418,TBD2 - Masina2
906000994420,TBD3 - Masina2
906000994422,TBD4 - Masina2
906000994424,TBD5 - Masina2
906000994426,TBD6 - Masina2
906000994428,TBD7 - Masina2
906000994430,TBD8 - Masina2
906000994432,Temoignage
906000994434,Bakuma 
906000994436,Bikunda 
906000994438,Bomoi 
906000994440,Bopeto 
906000994442,Cadc Sumbi 
906000994444,Centre Usafi
906000994446,Diki Sante 
906000994448,Hasc
906000994450,Luzingu 
906000994452,Mbankani
906000994454,Mokili Muinda
906000994456,Ndjili HGR
906000994458,S/M de N'djili 
906000994460,Samaritaine 
906000994462,TBD1 - Ndjili
906000994464,TBD2 - Ndjili
906000994466,TBD3 - Ndjili
906000994468,Ceta 
906000994470,Aigle Medical 
906000994472,Amed CM
906000994474,Benzale CH
906000994476,Bibwa Maternite
906000994478,Bon Secours 
906000994480,Centenaire 
906000994482,DAIPN Maternite
906000994484,Dingi Dingi 
906000994486,Emeraude - Nsele 
906000994488,Etonga
906000994490,Kinkole HGR
906000994492,Laboratoire DREAM
906000994494,Mapamboli 
906000994496,Maria Louisa 
906000994498,Mbangu Mbamu 
906000994500,Methodiste - Nsele 
906000994502,Mobikisi CM
906000994504,Notre Dame du Jardin
906000994506,Pcid Ch
906000994508,Rapha - Mpasa 
906000994510,St Jean Ape´tre
906000994512,St Raymond - Nsele
906000994514,Stella
906000994516,Lukula HGR
906000994518,Makungulenge 
906000994520,Mbambi
906000994522,Mvuangu 
906000994524,Boma HGR
906000994526,Cvm 
906000994528,Kiveve 
906000994530,Boboto - Boma 
906000994532,Sacre CÅ“ur 
906000994534,Kinkonzi
906000994536,La Grace - Moanda 
906000994538,Moanda A 
906000994540,Moanda HGR
906000994542,Vulumba
906000994544,Croix Rouge
906000994546,ONATRA - Boma Hopital
906000994548,Police 
906000994550,Kinkanda HGR
906000994552,Mvuzi 
906000994554,Kiamvu HGR
906000994556,Mabaku
906000994558,Military_DRC
906000994560,Kisongo
906000994562,Kituku
906000994564,Lubuye
906000994566,Tabac
906000994568,Tundwa
906000994570,Undugu
906000994572,Kandolo 
906000994574,Kangoy
906000994576,Kongolo HGR
906000994578,Kongolo Ville
906000994580,Maria Mama
906000994582,Sola
906000994584,Cite
906000994586,HGR 
906000994588,Kanteba
906000994590,Kaulo Minono
906000994592,Manono HGR
906000994594,Muyumba Port
906000994596,Fube
906000994598,Kasenga - Moba 
906000994600,Katombe
906000994602,Moba HGR
906000994604,Moba Port 
906000994606,Mulonde
906000994608,Changa Changa
906000994610,Kisengo
906000994612,Lengwe
906000994614,Luizi
906000994616,Mangala
906000994618,Nyunzu HGR
906000994620,Foyer
906000994622,Kabondo HGR
906000994624,Umoja
906000994626,Bambole 
906000994628,Lubunga HGR
906000994630,Mako
906000994632,Osio 21 
906000994634,SNCC - Lubunga 
906000994636,St Andre
906000994638,Banduku 
906000994640,Boyoma
906000994642,Boyoma 
906000994644,De La Paix
906000994646,ECC Makiso 
906000994648,Jamaa 
906000994650,Konga Konga
906000994652,Konga-Konga 
906000994654,Makiso
906000994656,Makiso HGR
906000994658,Mandombe 
906000994660,Mc Milan 
906000994662,Mokela
906000994664,Nehema
906000994666,Rosaria
906000994668,Rosaria 
906000994670,St Pierre - Makiso 
906000994672,Fedi 
906000994674,Kondima
906000994676,Mangobo HGR
906000994678,Matete
906000994680,Musa (Sotexki)
906000994682,Uzima 
906000994684,Mbilinga
906000994686,St Joseph - Tshopo
906000994688,Mokela 
906000994690,TBD1 - Makiso
906000994692,TBD2 - Makiso
906000994694,TBD3 - Makiso
906000994696,TBD4 - Makiso
906000994698,Gloria
906000994700,Mokili
906000994702,Mungano
906000994704,St Camile
906000994706,Ya Biso
906000994708,Zawadi
906000994710,Bondeko - Makiso
906000994712,Celpa - Makiso
906000994714,Dela Paix
906000994716,Nehema
906000994718,Segama
906000994720,Bombula
906000994722,Mwilu
906000994724,Salama
906000994726,Bavatete
906000994728,Bon Samaritian
906000994730,Lobiko - Tshopo
906000994732,Malkia
906000994734,Malkiya
906000994736,Masina
906000994738,Pumuzika
906000994740,St Pierre
906000994742,Tshopo 2 (Pharmat)
906000994744,Tuungane
