Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest,RMNCH
2015,302,United States,,PEPFAR,,YvSjNnfcg8s,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gecamines Kipushi,99810,,120,Health,,,,,,,YvSjNnfcg8s,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,ms9F6pXWIAv,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kawama - Kipushi ,99810,,120,Health,,,,,,,ms9F6pXWIAv,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,vVkrAFZD4P3,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lumata ,99810,,120,Health,,,,,,,vVkrAFZD4P3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,jnRtGp1FZBG,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Charles ,99810,,120,Health,,,,,,,jnRtGp1FZBG,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,fwdhh7Zrz1C,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tumbwe ,99810,,120,Health,,,,,,,fwdhh7Zrz1C,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,eg8eKslpLF5,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amani-Likasi ,99810,,120,Health,,,,,,,eg8eKslpLF5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,wziynJudfXm,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asvie CM,99810,,120,Health,,,,,,,wziynJudfXm,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,VqnwROtoaHz,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kupuluka ,99810,,120,Health,,,,,,,VqnwROtoaHz,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,uugDKLfnDV6,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,La Grace - Likasi CM,99810,,120,Health,,,,,,,uugDKLfnDV6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,o0Ipvtx6zRo,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ovika ,99810,,120,Health,,,,,,,o0Ipvtx6zRo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,u4yhuecExBb,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panda GCM,99810,,120,Health,,,,,,,u4yhuecExBb,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,vF3ergOK9nT,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCC Likasi HGR,99810,,120,Health,,,,,,,vF3ergOK9nT,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,C6iIOHyd8LM,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shekinah CM,99810,,120,Health,,,,,,,C6iIOHyd8LM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,W4NU5QzpmGP,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simba ,99810,,120,Health,,,,,,,W4NU5QzpmGP,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,INHduMB4ZEh,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theresia ,99810,,120,Health,,,,,,,INHduMB4ZEh,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,Ig4M9J7MBO2,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinique Socidex ,99810,,120,Health,,,,,,,Ig4M9J7MBO2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,i1DNIPwBwUw,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,St Luc - Panda ,99810,,120,Health,,,,,,,i1DNIPwBwUw,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,joshm6qWObZ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kashobwe HGR,99810,,120,Health,,,,,,,joshm6qWObZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,DM4U9bfhcWL,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lupembe ,99810,,120,Health,,,,,,,DM4U9bfhcWL,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,yWGuoODzMsP,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dubie,99810,,120,Health,,,,,,,yWGuoODzMsP,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,q8pSw87xS51,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasolo ,99810,,120,Health,,,,,,,q8pSw87xS51,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,jrnlhWJasPC,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kilwa HGR,99810,,120,Health,,,,,,,jrnlhWJasPC,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,xkoVdK9KgMM,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyaka ,99810,,120,Health,,,,,,,xkoVdK9KgMM,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,ibND46UGkNQ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lukonzolwa ,99810,,120,Health,,,,,,,ibND46UGkNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,DQPm5R4BLpG,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lusalala ,99810,,120,Health,,,,,,,DQPm5R4BLpG,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,A07ptgzKrNa,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lwanza ,99810,,120,Health,,,,,,,A07ptgzKrNa,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,uBE44XPZ9Ve,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mubanga ,99810,,120,Health,,,,,,,uBE44XPZ9Ve,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,JfHMj6RTIum,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mukupa ,99810,,120,Health,,,,,,,JfHMj6RTIum,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,Zdoz7Zedu1z,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mulinde ,99810,,120,Health,,,,,,,Zdoz7Zedu1z,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,EcuiL8m1rpw,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boma - Pweto ,99810,,120,Health,,,,,,,EcuiL8m1rpw,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,q8NVzt8HC9v,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chalanshi,99810,,120,Health,,,,,,,q8NVzt8HC9v,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,AF22Ma9FugO,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanfubu HGR,99810,,120,Health,,,,,,,AF22Ma9FugO,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,oekYeOxRGyo,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamakanga,99810,,120,Health,,,,,,,oekYeOxRGyo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,jw5lKed4NIZ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapondo ,99810,,120,Health,,,,,,,jw5lKed4NIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,UE2YQdbjAjF,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kapulo ,99810,,120,Health,,,,,,,UE2YQdbjAjF,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,gEwxa0yCx4Z,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katabe ,99810,,120,Health,,,,,,,gEwxa0yCx4Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,MQ3iLYpWmAl,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nzwiba ,99810,,120,Health,,,,,,,MQ3iLYpWmAl,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,AC4R3JMxaRo,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sante ,99810,,120,Health,,,,,,,AC4R3JMxaRo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,r9K0BOHOlbS,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD1 - Pweto,99810,,120,Health,,,,,,,r9K0BOHOlbS,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,BkBipl7j7rb,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD2 - Pweto,99810,,120,Health,,,,,,,BkBipl7j7rb,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,MbCEAPjpBbP,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD3 - Pweto,99810,,120,Health,,,,,,,MbCEAPjpBbP,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,masaDFCs7Gr,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD4 - Pweto,99810,,120,Health,,,,,,,masaDFCs7Gr,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,XmmFqv02tdX,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD5 - Pweto,99810,,120,Health,,,,,,,XmmFqv02tdX,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,rREJN6BjvFS,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amani-Sakania,99810,,120,Health,,,,,,,rREJN6BjvFS,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,ezyucKXADTN,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buafano,99810,,120,Health,,,,,,,ezyucKXADTN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,C5GbAKyDzYo,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buafano ,99810,,120,Health,,,,,,,C5GbAKyDzYo,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,NYhN4LFvPdJ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fma Marie Auxilliatrice ,99810,,120,Health,,,,,,,NYhN4LFvPdJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,Mp7EEVk3wFm,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasumbalesa,99810,,120,Health,,,,,,,Mp7EEVk3wFm,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,WJxibBq9t2e,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kasumbalesa ,99810,,120,Health,,,,,,,WJxibBq9t2e,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,YmeIVi7hTx0,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katale,99810,,120,Health,,,,,,,YmeIVi7hTx0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,cbgYvwZNKeD,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitotwe,99810,,120,Health,,,,,,,cbgYvwZNKeD,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,y2IS6nBwQI7,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokambo,99810,,120,Health,,,,,,,y2IS6nBwQI7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,w9vmbayWMuQ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mokambo ,99810,,120,Health,,,,,,,w9vmbayWMuQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,gCEF5dwoaRV,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhona,99810,,120,Health,,,,,,,gCEF5dwoaRV,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,GcZUvUEmYP7,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neema - Sakania,99810,,120,Health,,,,,,,GcZUvUEmYP7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,ZROej1FvpHG,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosalie,99810,,120,Health,,,,,,,ZROej1FvpHG,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,KbYJOeheYX2,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakania HGR,99810,,120,Health,,,,,,,KbYJOeheYX2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,RfpyaQrBhHP,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD1 - Sakania,99810,,120,Health,,,,,,,RfpyaQrBhHP,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,AOP4ppLBOa6,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD2 - Sakania,99810,,120,Health,,,,,,,AOP4ppLBOa6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,BhYSTD3j48n,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD3 - Sakania,99810,,120,Health,,,,,,,BhYSTD3j48n,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,HxFwE4xyisF,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD4 - Sakania,99810,,120,Health,,,,,,,HxFwE4xyisF,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,a5fchcAolf6,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tshisenda,99810,,120,Health,,,,,,,a5fchcAolf6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,DNuNxFvd2vf,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buafano,99810,,120,Health,,,,,,,DNuNxFvd2vf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,mgTgT488GXV,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bihashara,99810,,120,Health,,,,,,,mgTgT488GXV,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,IaDm3fBJ6b5,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanina,99810,,120,Health,,,,,,,IaDm3fBJ6b5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,NhSNnfhXPZg,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD1 - Dilala,99810,,120,Health,,,,,,,NhSNnfhXPZg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,TdQYFgpXZwk,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD2 - Dilala,99810,,120,Health,,,,,,,TdQYFgpXZwk,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,n1y2iBzm4ox,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD3 - Dilala,99810,,120,Health,,,,,,,n1y2iBzm4ox,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,xf41AJRQBCT,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uzima Wetu - Dilala,99810,,120,Health,,,,,,,xf41AJRQBCT,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,pXorY6Hhfx9,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bunkeya HGR,99810,,120,Health,,,,,,,pXorY6Hhfx9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,QhAsG4QyPlR,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gareganze - Bunkenya ,99810,,120,Health,,,,,,,QhAsG4QyPlR,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,iSYYe5wWVUm,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kikobe ,99810,,120,Health,,,,,,,iSYYe5wWVUm,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,302,United States,,PEPFAR,,vN3xEEwdTxJ,,235,"Congo, Dem. Rep.",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munto ,99810,,120,Health,,,,,,,vN3xEEwdTxJ,,,,,,,,,,,,,,,,,,,,,,,,,,,
